id,tweet,sentiment
1,@SenJohnWhelan Best of luck! Looking forward to seeing you in the 32nd D\u00e1il. #Laois #GE16,1
2,"@CraigFitzsimon1 It cuts through the waffle of the anti-socialist side, in my view. @Populistwatch1r #ge16 @labour @PopulistwatchIr",7
3,John FitzGerald: Tax cut promises may be short-sighted  #ge16,4
4,.@FineGael #GE16 candidate and @yfg  @hopkins_maura addressing #fgaf16 regarding the importance of young farmers,5
5,I just asked some people I know from #Crumlin @EricByrneTD @labour. They're furious with that claim. You're not a workers party #GE16,2
6,#VoteTommy1 for him to continue protecting our beautiful bay #DBN #DublinBayBiosphere #SustainablePlanning #ge16,9
7,FULL HOUSE Great night tonight @SorchaNicC #GE16 launch. Thanks to @FerrisMartin @DublinSinnFein @sinnfeinireland,10
8,What has become of the movement seeking university status for Thurles College?\n #ge16,4
9,EU commission tells us what we already knew. #budget16 was set up to buy votes  #ge16,1
10,#ge2016 #ge16 Louth - not sure how Peter Fitzpatrick is so high up. Says he'll be Louth GAA manager next year.,3
11,Ruair\u00ed Quinn in 2011 pledging not to re-introduce third-level fees. #GE16 #LaboursWay,3
12,Off out for a leaflet drop on Kylemore Drive &amp; Avenue!\n#SinnF\u00e9in #GE16 #DSC #Right2Change,8
13,\We're fighting to win this election. SF wants to lead the next Government\ says @GerryAdamsSF at Louth #GE16 launch,6
14,Fine Gael getting back in - is a CRISIS for planning a society. off we go on a SPRINT to the bottom #ge16,1
15,"For those that missed it yesterday, here again is mine &amp; the @SocDems view on coalition post #ge16",7
16,Nature doesn't recognise borders #VoteGreen2016 @EamonRyan #GE16,0
17,Enda had a torturous conversation about the election date in Davos   even sits in the wrong seat #gobshite #ge16,2
18,Genius Enda makes Michael Lowry a #GE16 issue\n#twip \nCool,5
19,#Right2Water Ireland on the article \Poll: Are water charges an election issue for you?\ from TheJournal.ie:,5
20,"Kenny wants to abolish USC, attract emigrants home #ireland",5
21,I will not be engaging in personal attacks online or offline in #ge16 (not my style) no need for others to do so on my behalf either thanks!,6
22,"Argue away, GE2016 is 'round the corner.\n\n",3
23,"Shouldn't have happened. Gov / Irish Rail needs to hold strong in face of Unions, election or not.",2
24,"Just past 1,500 followers. \nThanks everyone.\n(@higginsdavidw). \n#ge16 #vinb #cblive",8
